啊	a_
滋扰	zirc
自认	zirf
自若	ziro
自如	ziru
滋润	ziry
姿容	zirs
紫色	zise
自私	zisi
子孙	zisy
姿态	zitd
字体	ziti
字条	zitn
字帖	zitp
紫檀	zitj
紫铜	zits
字头	zitz
资深	ziu_
自杀	ziua
自身	ziuf
滋生	ziug
姿势	ziui
坐吃山空	ziuk
字数	ziuu
自首	ziuz
自找	zivc
滋长	zivh
资质	zivi
自传	zivr
自重	zivs
自主	zivu
滋味	ziww
自问	ziwf
紫外	ziwd
早出晚归	ziwg
自我	ziwo
子午	ziwu
资讯	zix_
自信	zixb
仔细	zixi
自行	zixk
自小	zixn
自修	zixq
自选	zixr
自学	zixt
自诩	zixu
紫霞	zixx
咨询	zixy
再创新高	zixg
滋阴	ziyb
子夜	ziye
滋养	ziyh
恣意	ziyi
字眼	ziyj
自营	ziyk
子丑寅卯	ziym
自成一派	ziyp
资源	ziyr
自用	ziys
子曰	ziyt
自愈	ziyu
自由	ziyz
自造	zizc
自在	zizd
自责	zize
自吹自擂	zizl
自尊	zizy
自足	zizu
暂按	zjan
暂不	zjbu
寁	zjbr
暂别	zjbp
暂存	zjcy
总觉得	zjde
暂代	zjdd
暂定	zjdk
自己动手	zjdu
作奸犯科	zjfk
自掘坟墓	zjfm
赞歌	zjge
暂告	zjgc
坐井观天	zjgt
暂缓	zjhr
纵酒欢歌	zjhg
赞成	zjig
走街串巷	zjix
咱就	zjjq
暂借	zjjp
暂居	zjju
暂扣	zjkz
总经理	zjli
暂列	zjlp
咱俩	zjlx
咱们	zjmf
暂免	zjmm
赞美	zjmw
在劫难逃	zjnt
暂缺	zjqt
攒钱	zjqm
暂且	zjqp
自即日起	zjrq
赞颂	zjss
赞叹	zjtj
暂停	zjtk
赞同	zjts
暂时	zjui
遵纪守法	zjuf
赞赏	zjuh
嘴尖舌头快	zjuk
赞助	zjvu
早就知道了	zjvl
自荐枕席	zjvx
总角之交	zjvj
暂无	zjwu
暂未	zjww
总结性	zjx_
暂行	zjxk
赞许	zjxu
赞扬	zjyh
罪加一等	zjyd
暂用	zjys
赞誉	zjyu
自驾游	zjyz
自给自足	zjzz
作茧自缚	zjzf
再接再厉	zjzl
自觉自愿	zjzy
自愧不如	zkbr
自愧弗如	zkfr
罪魁祸首	zkhu
坐困愁城	zkii
糟糠之妻	zkvq
再看一遍	zkyb
再看一眼	zkyy
左看右看	zkyk
钻空子	zkzi
再苦再累	zkzl
尊老爱幼	zlay
坐立不安	zlba
坐冷板凳	zlbd
自留地	zldi
走漏风声	zlfu
自力更生	zlgu
做了个梦	zlgm
字里行间	zlhj
脏乱差	zlia
紫罗兰	zllj
自立门户	zlmh
总揽全局	zlqj
糟老头子	zltz
自来水	zluv
自乱阵脚	zlvj
杂乱无章	zlwv
坐落于	zly_
再来一遍	zlyb
再来一次	zlyc
揍了一顿	zlyd
左邻右舍	zlyu
嘴里一套	zlyt
坐落在	zlzd
走来走去	zlzq
怎么办	zmbj
怎么不行	zmbx
自命不凡	zmbf
怎么读	zmdu
走马灯	zmdg
怎么得了	zmdl
自鸣得意	zmdy
怎么搞	zmgc
怎么搞的	zmgd
走马观花	zmgh
怎么会	zmhv
怎么回事	zmhu
怎么查	zmia
自谋出路	zmil
怎么就	zmjq
怎么看	zmkj
走马看花	zmkh
怎么可能	zmkn
怎么了	zmle
祖母绿	zmlv
怎么能	zmng
怎么说	zmuo
走马上任	zmur
贼眉鼠眼	zmuy
怎么玩	zmwj
怎么写	zmxp
怎么样	zmyh
怎么用	zmys
怎么做	zmzo
自卖自夸	zmzk
怎么着	zmv_
怎么这样	zmvy
走南闯北	znib
钻牛角尖	znjj
怎能说	znuo
作鸟兽散	znus
罪孽深重	znuv
灾难性	znxk
做牛做马	znzm
作案	zoan
做爱	zoai
左边	zobm
作罢	zoba
作保	zobc
作弊	zobi
作伴	zobj
坐标	zobn
作别	zobp
左侧	zoce
做操	zocc
做菜	zocd
座舱	zoch
作词	zoci
佐餐	zocj
做错	zoco
做到	zodc
作答	zoda
做得	zode
坐等	zodg
做单	zodj
坐定	zodk
坐垫	zodm
做多	zodo
做东	zods
作对	zodv
作恶	zoee
做法	zofa
作风	zofg
作坊	zofh
做饭	zofj
作废	zofw
作梗	zogg
作怪	zogk
做过	zogo
做官	zogr
做工	zogs
作古	zogu
做鬼	zogv
做好	zohc
作何	zohe
做回	zohv
作画	zohx
作出	zoiu
坐车	zoie
做成	zoig
坐禅	zoij
坐船	zoir
作假	zoj_
座机	zoji
左键	zojm
左脚	zojn
作家	zojx
作客	zoke
做空	zoks
做了	zol_
坐牢	zolc
作乐	zole
佐料	zoln
坐落	zolo
作乱	zolr
左轮	zoly
左路	zolu
做梦	zomg
坐满	zomj
左面	zomm
琢磨	zomo
做媒	zomw
作弄	zons
左脑	zonc
作难	zonj
作孽	zonp
作呕	zoou
作品	zopb
左派	zopd
做盘	zopj
作陪	zopw
作曲	zoqu
坐骑	zoqi
做人	zorf
昨日	zori
作祟	zosv
作死	zosi
昨天	zotm
坐台	zotd
作甚	zouf
做声	zoug
坐上	zouh
做题	zoti
座谈	zotj
作图	zotu
左腿	zotv
坐堂	zoth
做事	zoui
作数	zouu
左手	zouz
作者	zove
坐镇	zovf
作证	zovg
坐支	zovi
作战	zovj
坐庄	zovl
左转	zovr
做主	zovu
作准	zovy
作文	zowf
昨晚	zowj
作物	zowu
作为	zoww
做些	zoxp
作息	zoxi
作秀	zoxq
作序	zoxu
坐下	zoxx
左胸	zoxs
作业	zoye
座椅	zoyi
左眼	zoyj
作用	zoys
左右	zoyz
坐在	zozd
坐姿	zozi
做作	zozo
做贼	zozw
左撇子	zpzi
自强不息	zqbx
暂且不论	zqbl
自求多福	zqdf
紫气东来	zqdl
左前方	zqfh
最起码	zqma
自取灭亡	zqmw
自欺欺人	zqqr
自取其辱	zqq_
早去早回	zqzh
杂七杂八	zqzb
自轻自贱	zqzj
自强自立	zqzl
钻到	zrdc
钻洞	zrds
自然而然	zrer
择人而噬	zreu
自然反应	zrfy
责任感	zrgj
自然规律	zrgl
钻出	zriu
钻进	zrjb
钻井	zrjk
钻戒	zrjp
钻孔	zrks
做人留一线	zrlx
钻入	zrru
钻头	zrtz
钻探	zrtj
钻石	zrui
作如是观	zrug
攥着	zrve
自认为	zrww
责任心	zrx_
钻心	zrxb
最容易	zryi
钻研	zryj
钻营	zryk
自然灾害	zrzh
在所不辞	zsbc
总比	zsbi
总编	zsbm
总部	zsbu
在所不惜	zsbx
总裁	zscd
宗祠	zsci
总参	zscj
总得	zsdw
纵队	zsdv
总店	zsdm
总督	zsdu
总额	zsee
总分	zsff
总攻	zsg_
总该	zsgd
总纲	zsgh
总管	zsgr
总共	zsgs
总归	zsgv
子孙后代	zshd
综合	zshe
纵横	zshg
总行	zshh
纵火	zsho
总会	zshv
总称	zsig
总厂	zsih
踪迹	zsj_
总结	zsjp
总计	zsji
总监	zsjm
宗教	zsjn
总局	zsju
总价	zsjx
总括	zsko
总控	zsks
再三考虑	zskl
总理	zsli
总量	zsll
棕榈	zslv
总览	zslj
总论	zsly
宗门	zsmf
纵马	zsma
鬃毛	zsmc
宗庙	zsmn
总目	zsmu
子孙满堂	zsmt
总能	zsng
在所难免	zsnm
总怕	zspa
宗派	zspd
总评	zspk
宗谱	zspu
纵情	zsqk
宗亲	zsqb
纵然	zsrj
纵容	zsrs
棕色	zsse
总算	zssr
祖孙三代	zssd
总统	zsts
总台	zstd
总体	zsti
总坛	zstj
宗师	zsu_
纵深	zsuf
纵声	zsug
综上	zsuh
总是	zsui
总说	zsuo
总数	zsuu
宗旨	zsv_
总账	zsvh
总之	zsvi
总装	zsvl
总站	zsvj
宗主	zsvu
总务	zswu
子孙万代	zswd
纵向	zsx_
总想	zsxl
总线	zsxm
棕熊	zsxs
纵有	zsy_
总要	zsyc
综艺	zsyi
踪影	zsyk
纵欲	zsyu
左思右想	zsyx
总有	zsyz
总则	zsze
粽子	zszi
自私自利	zszl
总纂	zszr
再三再四	zszs
宗族	zszu
自叹不如	ztbr
自叹弗如	ztfr
自讨苦吃	ztki
座谈会	zthv
糟蹋了	ztle
自投罗网	ztlw
总体来说	ztlu
总体说来	ztul
自讨没趣	ztmq
总体而言	ztey
遭天谴	ztqm
总体上	ztuh
总体上说	ztuu
总体上讲	ztuj
在天之灵	ztvl
走投无路	ztwl
嘴甜心苦	ztxk
自掏腰包	ztyb
在天有灵	ztyl
自弹自唱	ztzi
贼头贼脑	ztzn
阻碍	zuai
座上宾	zubb
足本	zubf
足部	zubu
祖辈	zubw
作声不得	zubd
坐视不管	zubg
组词	zuci
阻挡	zudh
阻断	zudr
组队	zudv
足底	zudi
足额	zuee
自上而下	zuex
租房	zufh
再生父母	zufm
祖父	zufu
祖坟	zuff
足够	zugz
坐山观虎斗	zugd
阻隔	zuge
足跟	zugf
祖国	zugo
族规	zugv
租给	zugw
早上好	zuhc
组合	zuhe
足踝	zuhk
租户	zuhu
组成	zuig
租车	zuie
祖传	zuir
租出	zuiu
左上角	zuj_
镞	zuj2
左上角	zujn
租金	zujb
足迹	zuji
租借	zujp
祖居	zuju
租价	zujx
昨是今非	zujf
座上客	zuke
租赁	zulb
阻力	zuli
阻拦	zulj
足疗	zuln
足联	zulm
醉生梦死	zums
祖母	zumu
阻挠	zunc
自身难保	zunb
族谱	zupu
足球	zuqq
自食其果	zuqg
租期	zuqi
自食其力	zuql
族权	zuqr
组曲	zuqu
族群	zuqy
阻扰	zurc
族人	zurf
租入	zuru
阻燃	zurj
阻塞	zusd
阻塞	zuse
卒岁	zusv
祖孙	zusy
综上所述	zusu
再衰三竭	zusj
组图	zutu
兹事体大	zutd
足坛	zutj
组团	zutr
租售	zuuz
自视甚高	zuug
祖上	zuuh
祖师	zuui
阻止	zuv_
尊师重道	zuvd
组长	zuvh
组织	zuvi
尊师重教	zuvj
组装	zuvl
租住	zuvu
自始至终	zuvv
诅咒	zuvz
组网	zuwh
资深望重	zuwv
暂时性	zuxk
祖先	zuxm
足协	zuxp
租下	zuxx
祖训	zuxy
祖业	zuye
葬身鱼腹	zuyf
足以	zuyi
坐收渔利	zuyl
组员	zuyr
租用	zuys
足月	zuyt
足浴	zuyu
足有	zuyz
再说一遍	zuyb
再说一次	zuyc
足足	zuzu
自说自话	zuzh
卒子	zuzi
自生自灭	zuzm
祖宗	zuzs
早睡早起	zuzq
最爱	zvai
罪案	zvan
嘴巴	zvba
最棒	zvbh
锱铢必较	zvbj
嘴边	zvbm
最不	zvbu
阻止不了	zvbl
早知道	zvd_
最大	zvda
醉倒	zvdc
最低	zvdi
足智多谋	zvdm
嘴刁	zvdn
最多	zvdo
最短	zvdr
最毒	zvdu
罪恶	zvee
罪犯	zvfj
在这方面	zvfm
最高	zvgc
罪过	zvgo
最贵	zvgv
最后	zvhz
最好	zvhc
最坏	zvhk
醉话	zvhx
最长	zvih
最差	zvia
最迟	zvii
嘴馋	zvij
最初	zviu
嘴唇	zviy
最丑	zviz
再正常不过	zvig
最近	zvjb
嘴尖	zvjm
嘴角	zvjn
醉酒	zvjq
早知今日，何必当初	zvji
最具	zvju
字斟句酌	zvjv
最佳	zvjx
自找苦吃	zvki
最快	zvkk
最酷	zvku
罪魁	zvkv
醉了	zvle
增长率	zvlv
最冷	zvlg
嘴里	zvli
最烂	zvlj
最亮	zvll
嘴脸	zvlm
最美	zvmw
槜	zvmn
最慢	zvmj
罪名	zvmk
自找麻烦	zvmf
最终目的	zvmd
最终目标	zvmb
最能	zvng
最难	zvnj
罪孽	zvnp
最怕	zvpa
嘴皮	zvpi
自治区	zvqu
最轻	zvqk
最强	zvql
最前	zvqm
走着瞧	zvqn
最全	zvqr
字正腔圆	zvqy
醉人	zvr_
最热	zvre
罪人	zvrf
最让	zvrh
最弱	zvro
嘴软	zvrr
早知如此	zvrc
醉态	zvtd
嘴甜	zvtm
资治通鉴	zvtj
杂志社	zvue
最少	zvuc
嘴上	zvuh
罪证	zvvg
罪状	zvvl
自知之明	zvvm
最终	zvvs
在这之前	zvvq
最为	zvww
最晚	zvwj
醉卧	zvwo
最无	zvwu
最新	zvxb
罪行	zvxk
最想	zvxl
最先	zvxm
最小	zvxn
左支右绌	zvyi
醉眼	zvyj
嘴硬	zvyk
最远	zvyr
最优	zvyz
最早	zvzc
罪责	zvze
走着走着	zvzv
坐卧不安	zwba
坐卧不宁	zwbn
自我表现	zwbx
贼胆	zwdj
贼船	zwir
自我介绍	zwju
贼寇	zwkz
走弯路	zwlu
贼亮	zwll
自我感觉	zwgj
自我感觉良好	zwgh
责无旁贷	zwpd
贼人	zwrf
自我陶醉	zwtz
走为上	zwuh
走为上策	zwuc
走为上计	zwuj
做文章	zwvh
醉翁之意不在酒	zwvj
贼窝	zwwo
紫外线	zwxm
贼心	zwxb
座无虚席	zwxx
自我牺牲	zwxu
贼眼	zwyj
自我意识	zwyu
左问右问	zwyw
贼赃	zwzh
作威作福	zwzf
自问自答	zwzd
最新版	zxbj
贼心不死	zxbs
自相残杀	zxcu
尊姓大名	zxdm
自寻短见	zxdj
宰相肚里能撑船	zxdi
自寻烦恼	zxfn
最喜欢	zxhr
自行车	zxie
自学成才	zxic
走乡串户	zxih
左下角	zxjn
罪行累累	zxll
早些年	zxnm
自相矛盾	zxmd
走下坡路	zxpl
再续前缘	zxqy
坐享其成	zxqi
自行其是	zxqu
自寻死路	zxsl
在校生	zxug
子虚乌有	zxwy
自信心	zxxb
脏兮兮	zxxi
醉醺醺	zxxy
再下一城	zxyi
仔细一看	zxyk
尊卑	zybw
再也不是	zybu
再也不会	zybh
作用不大	zybd
走一步看一步	zybb
再一次	zyci
遵从	zycs
怎样才能	zycn
自由度	zydu
坐以待毙	zydb
左右逢源	zyfy
自由放任	zyfr
自有分寸	zyfc
尊贵	zygv
载誉归来	zygl
自由化	zyhx
造谣惑众	zyhv
左右互搏	zyhb
尊称	zyig
尊崇	zyis
尊敬	zyjk
𨱔	zyjc
遵纪	zyji
尊严尽丧	zyjs
自由竞争	zyjv
左右开弓	zykg
最有可能	zykn
遵令	zylk
左右两难	zyln
择优录取	zylq
择优录用	zyly
龇牙咧嘴	zylz
座右铭	zym2
遵命	zymk
在一起	zyqi
自圆其说	zyqu
坐言起行	zyqx
增益其所不能	zyqn
尊容	zyrs
僔	zyrc
做一天和尚撞一天钟	zytv
左右手	zyu_
择优上岗	zyug
尊师	zyui
造谣生事	zyuu
子曰诗云	zyuy
遵守	zyuz
尊重	zyvs
遵照	zyvc
尊长	zyvh
遵旨	zyvi
尊者	zyve
造谣中伤	zyvu
自由职业	zyvy
自以为	zyw_
自以为得计	zywj
左右为难	zywn
自以为是	zywu
再也无法	zywf
恣意妄为	zyww
遵循	zyxy
尊姓	zyxk
嘴硬心软	zyxr
尊严	zyyj
左拥右抱	zyyb
罪有应得	zyyd
总有一天	zyyt
总有一些	zyyx
早有预谋	zyym
遵义	zyyi
自由泳	zyys
子欲养而亲不在	zyyz
自娱自乐	zyzl
自言自语	zyzy
自由自在	zyzz
走吧	zzba
祖祖辈辈	zzbb
孜孜不倦	zzbj
走遍	zzbm
自在不成人	zzbr
走步	zzbu
自作聪明	zzcm
走低	zzdi
走得	zzde
自作多情	zzdq
走动	zzds
走读	zzdu
走到	zzdc
走访	zzfh
曾祖父	zzfu
走高	zzgc
走光	zzgl
走过	zzgo
走狗	zzgz
走好	zzhc
走火	zzho
走红	zzhs
走出	zziu
啧啧称奇	zziq
走近	zzj_
走进	zzjb
走自己的路	zzjl
砸自己的脚	zzjj
走开	zzkd
走走看看	zzkk
走了	zzle
走啦	zzla
走来	zzld
走廊	zzlh
走路	zzlu
走漏	zzlz
奏明	zzmk
曾祖母	zzmu
罪责难逃	zznt
自作孽不可活	zznh
走强	zzql
奏请	zzqk
走去	zzqu
走起	zzqi
走俏	zzqn
走人	zzrf
走弱	zzro
仄仄平平	zzpp
走软	zzrr
走入	zzru
走私	zzsi
走散	zzsj
子子孙孙	zzss
走台	zztd
走题	zzti
走走停停	zztt
走势	zzui
走神	zzuf
走上	zzuh
走兽	zzuz
走着	zzve
奏章	zzvh
自作主张	zzvv
字字珠玑	zzvj
走完	zzwj
走稳	zzwf
走位	zzww
自尊心	zzx_
走心	zzxb
早自习	zzxi
走向	zzxl
奏效	zzxn
栽赃陷害	zzxh
做贼心虚	zzxx
走样	zzyh
走眼	zzyj
孜孜以求	zzyq
走远	zzyr
奏乐	zzyt
走运	zzyy
走走	zzzz
啧啧啧	zzze
自作自受	zzzu
阿宝	aabc
阿德	aade
阿迪	aadi
阿爹	aadp
阿斗	aadz
阿福	aafu
阿飞	aafw
阿狗	aagz
阿黄	aahl
阿花	aahx
阿金	aajb
阿娇	aajn
阿姐	aajp
阿郎	aalh
阿里	aali
阿兰	aalj
阿伦	aaly
阿蒙	aamg
阿奶	aand
阿娘	aanl
阿牛	aanq
阿青	aaqk
阿三	aasj
阿朱	aavu
阿秀	aaxq
阿紫	aazi
昂藏	ahch
癌病	aibk
挨次	aici
矮凳	aidg
爱党	aidh
挨冻	aids
爱狗	aigz
爱花	aihx
爱车	aiie
挨肩	aijm
挨浇	aijn
哀家	aijx
挨靠	aikc
爱老	ailc
爱您	ainb
爱你	aini
爱女	ainv
挨批	aipi
爱妻	aiqi
爱钱	aiqm
爱犬	aiqr
蔼然	airj
艾绒	airs
哀诉	aisu
爱他	aita
艾特	aite
爱徒	aitu
癌栓	aiur
爱问	aiwf
爱我	aiwo
矮星	aixk
挨熊	aixs
哎呦	aiyz
安邦	anbh
鞍鼻	anbi
暗病	anbk
岸标	anbn
安倍	anbw
安达	anda
安否	anfz
鞍钢	angh
安国	ango
暗火	anho
安琥	anhu
暗金	anjb
案列	anlp
俺俩	anlx
氨纶	anly
暗牧	anmu
按耐	annd
安妮	anni
安南	annj
暗盘	anpj
安踏	anta
氨糖	anth
暗爽	anul
安顺	anuy
案首	anuz
暗战	anvj
安危	anww
安阳	anyh
铵盐	anyj
敖包	aobc
鳌拜	aobd
熬菜	aocd
奥登	aodg
敖广	aogl
奥拓	aoto
澳网	aowh
奥巴马	abma
挨板子	abzi
矮矬穷	acqs
爱丁堡	adbc
矮墩墩	addy
奥达曼	admj
安东尼	adni
安德森	adsf
爱迪生	adug
阿凡达	afda
埃弗顿	afdy
艾弗森	afsf
阿骨打	agda
盎格鲁	aglu
阿古斯	agsi
矮个子	agzi
安魂曲	ahqu
鹌鹑蛋	aidj
熬出头	aitz
挨肩儿	ajer
爱剪辑	ajji
安监局	ajju
奥卡福	akfu
安卡拉	akla
阿肯人	akrf
案款状	akvl
奥兰多	aldo
艾灵顿	aldy
阿罗汉	alhj
阿兰若	alro
阿隆索	also
阿里扎	alva
爱立信	alxb
阿里云	alyy
埃米尔	amer
凹面镜	amjk
阿木林	amlb
阿米洛	amlo
阿玛尼	amni
阿米奴	amnu
奥尼尔	aner
阿帕奇	apqi
矮穷矬	aqco
安琪儿	aqer
爱奇艺	aqyi
阿森纳	asna
熬头儿	ater
阿土古	atgu
奥陶纪	atji
奥特曼	atmj
阿童木	atmu
阿托品	atpb
安兔兔	attu
阿特兹	atzi
阿是穴	auxt
埃文斯	awsi
爱窝窝	awwo
阿修罗	axlo
艾叶豹	aybc
哎呦呵	ayhe
阿育王	aywh
安以轩	ayxr
哎哟哟	ayyo
挨挨拶拶	aazz
爱博不专	abbv
安倍晋三	abjs
爱不忍释	abru
安邦治国	abvg
安不忘危	abww
阿迪达斯	adds
案牍劳形	adlx
挨冻受饿	adue
挨打受骂	adum
安富尊荣	afzr
安国富民	agfm
安国宁家	agnj
爱国如家	agrj
奥格瑞玛	agrm
爱国守法	aguf
爱管闲事	agxu
安魂定魄	ahdp
瑷珲条约	ahty
安车蒲轮	aipl
挨肩并足	ajbz
挨肩擦脸	ajcl
挨肩搭背	ajdb
按键精灵	ajjl
阿喀琉斯	akls
昂克赛拉	aksl
按劳付酬	alfi
埃里克森	alks
阿里旺旺	alww
挨门挨户	amah
傲慢无礼	amwl
碍难从命	ancm
安内攘外	anrw
熬年头儿	ante
碍难遵命	anzm
哀其不幸	aqbx
安全剃刀	aqtd
爱如己出	arji
蔼然可亲	arkq
安如磐石	arpu
爱人如己	arrj
蔼然仁者	arrv
爱如珍宝	arvb
阿萨姆人	asmr
安土重迁	atiq
艾条灸法	atjf
昂头阔步	atkb
阿特拉斯	atls
昂头挺胸	attx
安守本分	aubf
暗射地图	audt
昂首高亢	augk
安适如常	auri
昂首挺立	autl
昂首屹立	auyl
螯肢动物	avdw
爱之如宝	avrb
安危冷暖	awln
安危相易	awxy
安危与共	awyg
奥匈帝国	axdg
安心定志	axdv
熬心费力	axfl
爱贤念旧	axnj
安闲自得	axzd
安闲自在	axzz
阿月浑子	ayhz
唉呀妈呀	aymy
哀的美敦书	admu
阿德托昆博	adtb
阿尔德里奇	aedq
阿尔法射线	aefx
阿尔法粒子	aefz
阿拉伯半岛	albd
阿姆斯特朗	amsl
安全理事会	aqlh
艾森豪威尔	ashe
爱斯基摩人	asjr
奥斯曼帝国	asmg
埃博拉出血热	ablr
阿尔茨海默病	aecb
阿喀琉斯之踵	aklv
爱之必以其道	avbd
阿伏伽德罗常量	afjl
奥林匹克运动会	alph
澳门特别行政区	amtq
爱美之心人皆有之	amvv
霸榜	babh
八遍	babm
靶标	babn
八部	babu
八倍	babw
八层	bacg
八次	baci
拔萃	bacv
八寸	bacy
八大	bada
八代	badd
巴蒂	badi
坝顶	badk
八点	badm
把舵	bado
八段	badr
八栋	bads
八度	badu
八队	badv
巴顿	bady
八二	baer
八分	baff
霸服	bafu
八嘎	baga
八根	bagf
八国	bago
吧规	bagv
巴沟	bagz
八号	bahc
拔海	bahd
八会	bahv
八重	bais
八斤	bajb
八景	bajk
八九	bajq
八家	bajx
八骏	bajy
罢考	bakc
八块	bakk
八廓	bako
八款	bakr
巴库	baku
把牢	balc
罢练	balm
八六	balq
八楼	balz
八米	bami
霸蛮	bamj
八名	bamk
八秒	bamn
把妹	bamw
把你	bani
把尿	bann
把弄	bans
吧女	banv
八品	bapb
八拍	bapd
霸屏	bapk
八篇	bapm
八婆	bapo
八强	baql
灞桥	baqn
八区	baqu
菝葜	baqx
拔群	baqy
八日	bari
巴萨	basa
坝埽	basc
八三	basj
八所	baso
巴松	bass
罢诉	basu
把他	bata
霸体	bati
八条	batn
八团	batr
八通	bats
把头	batz
八神	bauf
巴山	bauj
巴扎	bava
八兆	bavc
八珍	bavf
八正	bavg
八只	bavi
八种	bavs
八爪	bavx
吧务	bawu
八位	baww
八项	baxl
八样	bayh
巴彦	bayj
拔营	bayk
八元	bayr
鲅鱼	bayu
吧友	bayz
版本	bb2
彬彬	bbbb
宾词	bbci
鬓发	bbfa
宾服	bbfu
宾格	bbge
髌骨	bbgu
殡车	bbie
摈斥	bbii
摈除	bbiu
濒绝	bbjt
濒死	bbsi
镔铁	bbtp
宾王	bbwh
殡仪	bbyi
薄层	bccg
褒词	bcci
薄脆	bccv
报端	bcdr
保兑	bcdv
爆豆	bcdz
保额	bcee
鲍尔	bcer
饱饭	bcfj
宝钢	bcgh
包好	bchc
宝海	bchd
保皇	bchl
薄厚	bchz
宝钗	bcid
包产	bcij
包船	bcir
报春	bciy
暴击	bcji
保教	bcjn
宝眷	bcjr
报矿	bckl
抱愧	bckv
暴扣	bckz
宝林	bclb
宝来	bcld
宝莲	bclm
保罗	bclo
暴掠	bclt
爆率	bclv
豹猫	bcmc
爆麦	bcmd
暴盲	bcmh
保苗	bcmn
包囊	bcnh
保宁	bcnk
豹女	bcnv
宝强	bcql
暴热	bcre
爆燃	bcrj
爆乳	bcru
宝瑞	bcrv
爆肉	bcrz
宝色	bcse
报损	bcsy
薄纱	bcua
宝胜	bcug
抱谁	bcuw
爆照	bcvc
堡寨	bcvd
包桌	bcvo
包赚	bcvr
抱我	bcwo
报验	bcyj
保用	bcys
宝钻	bczr
暴走	bczz
白案	bdan
拜把	bdba
白的	bdde
白等	bddg
白当	bddh
摆对	bddv
白豆	bddz
白鹅	bdee
柏高	bdgc
白盖	bdgd
百鬼	bdgv
白瓜	bdgx
白黑	bdhw
白混	bdhy
白喉	bdhz
白茶	bdia
白扯	bdie
白丑	bdiz
败将	bdjl
白蜡	bdla
白狼	bdlh
摆烂	bdlj
摆列	bdlp
白龙	bdls
白楼	bdlz
白门	bdmf
白眉	bdmw
百能	bdng
百诺	bdno
白牛	bdnq
白鸥	bdou
百品	bdpb
摆拍	bdpd
白胖	bdph
白皮	bdpi
白嫖	bdpn
白破	bdpo
白青	bdqk
白球	bdqq
白雀	bdqt
白饶	bdrc
白热	bdre
百瑞	bdrv
拜扫	bdsc
白叟	bdsz
白塔	bdta
白厅	bdtk
白铁	bdtp
白豚	bdty
白芍	bduc
拜神	bduf
白霜	bdul
百顺	bduy
摆闸	bdva
百战	bdvj
白装	bdvl
白赚	bdvr
百种	bdvs
白袜	bdwa
白问	bdwf
百旺	bdwh
拜我	bdwo
百信	bdxb
白象	bdxl
百晓	bdxn
百秀	bdxq
白癣	bdxr
白熊	bdxs
败絮	bdxu
白瞎	bdxx
白鲟	bdxy
白牙	bdya
白用	bdys
白月	bdyt
白泽	bdze
白钻	bdzr
白总	bdzs
百尊	bdzy
笨啊	bfaa
本吧	bfba
本帮	bfbh
本班	bfbj
苯丙	bfbk
本册	bfce
本层	bfcg
奔窜	bfcr
本村	bfcy
本大	bfda
奔到	bfdc
笨的	bfde
本多	bfdo
本段	bfdr
本栋	bfds
本队	bfdv
畚斗	bfdz
本恩	bfen
本二	bfer
本法	bffa
本格	bfge
本根	bfgf
本钢	bfgh
苯酐	bfgj
笨瓜	bfgx
笨狗	bfgz
笨货	bfho
苯环	bfhr
本会	bfhv
栟茶	bfia
本朝	bfic
本车	bfie
倴城	bfig
笨戳	bfio
本将	bfjl
本卷	bfjr
本剧	bfju
本款	bfkr
奔溃	bfkv
笨啦	bfla
贲临	bflb
奔劳	bflc
笨了	bfle
笨狼	bflh
本栏	bflj
笨驴	bflv
本楼	bflz
奔马	bfma
笨猫	bfmc
奔迈	bfmd
笨么	bfme
奔忙	bfmh
苯醚	bfmi
本末	bfmo
本木	bfmu
笨呐	bfna
笨呢	bfne
本尼	bfni
奔牛	bfnq
本品	bfpb
本派	bfpd
本批	bfpi
本片	bfpm
笨球	bfqq
本区	bfqu
本群	bfqy
本热	bfre
本然	bfrj
本森	bfsf
笨死	bfsi
奔三	bfsj
本所	bfso
本诉	bfsu
奔踏	bfta
本坛	bftj
本汀	bftk
本帖	bftp
本团	bftr
奔头	bftz
本社	bfue
本山	bfuj
本帅	bfuk
本手	bfuz
本真	bfvf
本章	bfvh
本庄	bfvl
本王	bfwh
本丸	bfwj
本我	bfwo
奔现	bfxm
奔泻	bfxp
本休	bfxq
笨熊	bfxs
笨呀	bfya
本音	bfyb
本妖	bfyc
奔涌	bfys
本组	bfzu
本罪	bfzv
崩边	bgbm
绷瓷	bgci
蹦到	bgdc
蹦的	bgde
崩掉	bgdn
崩豆	bgdz
崩二	bger
绷缝	bgfg
泵房	bgfh
蹦高	bggc
泵盖	bggd
崩锅	bggo
泵工	bggs
绷簧	bghl
蹦会	bghv
泵车	bgie
泵池	bgii
蹦出	bgiu
崩卡	bgka
泵壳	bgke
泵坑	bgkg
蹦来	bgld
崩了	bgle
蚌蜊	bgli
崩落	bglo
崩裂	bglp
泵类	bglw
崩漏	bglz
蹦米	bgmi
蹦年	bgnm
崩皮	bgpi
泵浦	bgpu
崩缺	bgqt
泵入	bgru
甏肉	bgrz
崩三	bgsj
泵送	bgss
崩腾	bgtg
泵体	bgti
蹦跳	bgtn
泵闸	bgva
泵站	bgvj
蚌珠	bgvu
泵轴	bgvz
泵压	bgya
泵业	bgye
蚌医	bgyi
泵油	bgyz
帮俺	bhan
